LMT: +01:08:24
Transition[Gap at 1892-02-08T00:00+01:08:24 to +01:30]
Transition[Gap at 1903-03-01T00:00+01:30 to +02:00]
Transition[Gap at 1942-09-20T02:00+02:00 to +03:00]
Transition[Overlap at 1943-03-21T02:00+03:00 to +02:00]
Transition[Overlap at 1994-03-21T00:00+02:00 to +01:00]
Transition[Gap at 1994-09-04T02:00+01:00 to +02:00]
Transition[Overlap at 1995-04-02T02:00+02:00 to +01:00]
Transition[Gap at 1995-09-03T02:00+01:00 to +02:00]
Transition[Overlap at 1996-04-07T02:00+02:00 to +01:00]
Transition[Gap at 1996-09-01T02:00+01:00 to +02:00]
Transition[Overlap at 1997-04-06T02:00+02:00 to +01:00]
Transition[Gap at 1997-09-07T02:00+01:00 to +02:00]
Transition[Overlap at 1998-04-05T02:00+02:00 to +01:00]
Transition[Gap at 1998-09-06T02:00+01:00 to +02:00]
Transition[Overlap at 1999-04-04T02:00+02:00 to +01:00]
Transition[Gap at 1999-09-05T02:00+01:00 to +02:00]
Transition[Overlap at 2000-04-02T02:00+02:00 to +01:00]
Transition[Gap at 2000-09-03T02:00+01:00 to +02:00]
Transition[Overlap at 2001-04-01T02:00+02:00 to +01:00]
Transition[Gap at 2001-09-02T02:00+01:00 to +02:00]
Transition[Overlap at 2002-04-07T02:00+02:00 to +01:00]
Transition[Gap at 2002-09-01T02:00+01:00 to +02:00]
Transition[Overlap at 2003-04-06T02:00+02:00 to +01:00]
Transition[Gap at 2003-09-07T02:00+01:00 to +02:00]
Transition[Overlap at 2004-04-04T02:00+02:00 to +01:00]
Transition[Gap at 2004-09-05T02:00+01:00 to +02:00]
Transition[Overlap at 2005-04-03T02:00+02:00 to +01:00]
Transition[Gap at 2005-09-04T02:00+01:00 to +02:00]
Transition[Overlap at 2006-04-02T02:00+02:00 to +01:00]
Transition[Gap at 2006-09-03T02:00+01:00 to +02:00]
Transition[Overlap at 2007-04-01T02:00+02:00 to +01:00]
Transition[Gap at 2007-09-02T02:00+01:00 to +02:00]
Transition[Overlap at 2008-04-06T02:00+02:00 to +01:00]
Transition[Gap at 2008-09-07T02:00+01:00 to +02:00]
Transition[Overlap at 2009-04-05T02:00+02:00 to +01:00]
Transition[Gap at 2009-09-06T02:00+01:00 to +02:00]
Transition[Overlap at 2010-04-04T02:00+02:00 to +01:00]
Transition[Gap at 2010-09-05T02:00+01:00 to +02:00]
Transition[Overlap at 2011-04-03T02:00+02:00 to +01:00]
Transition[Gap at 2011-09-04T02:00+01:00 to +02:00]
Transition[Overlap at 2012-04-01T02:00+02:00 to +01:00]
Transition[Gap at 2012-09-02T02:00+01:00 to +02:00]
Transition[Overlap at 2013-04-07T02:00+02:00 to +01:00]
Transition[Gap at 2013-09-01T02:00+01:00 to +02:00]
Transition[Overlap at 2014-04-06T02:00+02:00 to +01:00]
Transition[Gap at 2014-09-07T02:00+01:00 to +02:00]
Transition[Overlap at 2015-04-05T02:00+02:00 to +01:00]
Transition[Gap at 2015-09-06T02:00+01:00 to +02:00]
Transition[Overlap at 2016-04-03T02:00+02:00 to +01:00]
Transition[Gap at 2016-09-04T02:00+01:00 to +02:00]
Transition[Overlap at 2017-04-02T02:00+02:00 to +01:00]
Transition[Gap at 2017-09-03T02:00+01:00 to +02:00]
