LMT: -04:35:16
Transition[Gap at 1894-10-31T00:00-04:35:16 to -04:16:48]
Transition[Gap at 1920-05-01T00:00-04:16:48 to -04:00]
Transition[Gap at 1930-12-01T00:00-04:00 to -03:00]
Transition[Overlap at 1931-04-01T00:00-03:00 to -04:00]
Transition[Gap at 1931-10-15T00:00-04:00 to -03:00]
Transition[Overlap at 1932-03-01T00:00-03:00 to -04:00]
Transition[Gap at 1932-11-01T00:00-04:00 to -03:00]
Transition[Overlap at 1933-03-01T00:00-03:00 to -04:00]
Transition[Gap at 1933-11-01T00:00-04:00 to -03:00]
Transition[Overlap at 1934-03-01T00:00-03:00 to -04:00]
Transition[Gap at 1934-11-01T00:00-04:00 to -03:00]
Transition[Overlap at 1935-03-01T00:00-03:00 to -04:00]
Transition[Gap at 1935-11-01T00:00-04:00 to -03:00]
Transition[Overlap at 1936-03-01T00:00-03:00 to -04:00]
Transition[Gap at 1936-11-01T00:00-04:00 to -03:00]
Transition[Overlap at 1937-03-01T00:00-03:00 to -04:00]
Transition[Gap at 1937-11-01T00:00-04:00 to -03:00]
Transition[Overlap at 1938-03-01T00:00-03:00 to -04:00]
Transition[Gap at 1938-11-01T00:00-04:00 to -03:00]
Transition[Overlap at 1939-03-01T00:00-03:00 to -04:00]
Transition[Gap at 1939-11-01T00:00-04:00 to -03:00]
Transition[Overlap at 1940-03-01T00:00-03:00 to -04:00]
Transition[Gap at 1940-07-01T00:00-04:00 to -03:00]
Transition[Overlap at 1941-06-15T00:00-03:00 to -04:00]
Transition[Gap at 1941-10-15T00:00-04:00 to -03:00]
Transition[Overlap at 1943-08-01T00:00-03:00 to -04:00]
Transition[Gap at 1943-10-15T00:00-04:00 to -03:00]
Transition[Overlap at 1946-03-01T00:00-03:00 to -04:00]
Transition[Gap at 1946-10-01T00:00-04:00 to -03:00]
Transition[Overlap at 1963-10-01T00:00-03:00 to -04:00]
Transition[Gap at 1963-12-15T00:00-04:00 to -03:00]
Transition[Overlap at 1964-03-01T00:00-03:00 to -04:00]
Transition[Gap at 1964-10-15T00:00-04:00 to -03:00]
Transition[Overlap at 1965-03-01T00:00-03:00 to -04:00]
Transition[Gap at 1965-10-15T00:00-04:00 to -03:00]
Transition[Overlap at 1966-03-01T00:00-03:00 to -04:00]
Transition[Gap at 1966-10-15T00:00-04:00 to -03:00]
Transition[Overlap at 1967-04-02T00:00-03:00 to -04:00]
Transition[Gap at 1967-10-01T00:00-04:00 to -03:00]
Transition[Overlap at 1968-04-07T00:00-03:00 to -04:00]
Transition[Gap at 1968-10-06T00:00-04:00 to -03:00]
Transition[Overlap at 1969-04-06T00:00-03:00 to -04:00]
Transition[Gap at 1969-10-05T00:00-04:00 to -03:00]
Transition[Gap at 1974-01-23T00:00-03:00 to -02:00]
Transition[Overlap at 1974-05-01T00:00-02:00 to -03:00]
Transition[Gap at 1988-12-01T00:00-03:00 to -02:00]
Transition[Overlap at 1989-03-05T00:00-02:00 to -03:00]
Transition[Gap at 1989-10-15T00:00-03:00 to -02:00]
Transition[Overlap at 1990-03-04T00:00-02:00 to -04:00]
Transition[Gap at 1990-10-15T00:00-04:00 to -03:00]
Transition[Overlap at 1991-03-01T00:00-03:00 to -04:00]
Transition[Gap at 1991-10-15T00:00-04:00 to -03:00]
Transition[Overlap at 1992-03-01T00:00-03:00 to -04:00]
Transition[Gap at 1992-10-18T00:00-04:00 to -02:00]
Transition[Overlap at 1993-03-07T00:00-02:00 to -03:00]
Transition[Overlap at 2004-05-23T00:00-03:00 to -04:00]
Transition[Gap at 2004-09-26T00:00-04:00 to -03:00]
Transition[Gap at 2007-12-30T00:00-03:00 to -02:00]
Transition[Overlap at 2008-03-16T00:00-02:00 to -03:00]
