LMT: -04:49:20
Transition[Gap at 1890-01-01T00:00-04:49:20 to -04:49]
Transition[Overlap at 1917-01-24T12:00-04:49 to -05:00]
Transition[Gap at 1983-05-08T00:00-05:00 to -04:00]
Transition[Overlap at 1983-10-30T00:00-04:00 to -05:00]
Transition[Gap at 1984-04-29T00:00-05:00 to -04:00]
Transition[Overlap at 1984-10-28T00:00-04:00 to -05:00]
Transition[Gap at 1985-04-28T00:00-05:00 to -04:00]
Transition[Overlap at 1985-10-27T00:00-04:00 to -05:00]
Transition[Gap at 1986-04-27T00:00-05:00 to -04:00]
Transition[Overlap at 1986-10-26T00:00-04:00 to -05:00]
Transition[Gap at 1987-04-26T00:00-05:00 to -04:00]
Transition[Overlap at 1987-10-25T00:00-04:00 to -05:00]
Transition[Gap at 1988-04-03T01:00-05:00 to -04:00]
Transition[Overlap at 1988-10-30T02:00-04:00 to -05:00]
Transition[Gap at 1989-04-02T01:00-05:00 to -04:00]
Transition[Overlap at 1989-10-29T02:00-04:00 to -05:00]
Transition[Gap at 1990-04-01T01:00-05:00 to -04:00]
Transition[Overlap at 1990-10-28T02:00-04:00 to -05:00]
Transition[Gap at 1991-04-07T01:00-05:00 to -04:00]
Transition[Overlap at 1991-10-27T02:00-04:00 to -05:00]
Transition[Gap at 1992-04-05T01:00-05:00 to -04:00]
Transition[Overlap at 1992-10-25T02:00-04:00 to -05:00]
Transition[Gap at 1993-04-04T01:00-05:00 to -04:00]
Transition[Overlap at 1993-10-31T02:00-04:00 to -05:00]
Transition[Gap at 1994-04-03T01:00-05:00 to -04:00]
Transition[Overlap at 1994-10-30T02:00-04:00 to -05:00]
Transition[Gap at 1995-04-02T01:00-05:00 to -04:00]
Transition[Overlap at 1995-10-29T02:00-04:00 to -05:00]
Transition[Gap at 1996-04-07T01:00-05:00 to -04:00]
Transition[Overlap at 1996-10-27T02:00-04:00 to -05:00]
Transition[Gap at 1997-04-06T01:00-05:00 to -04:00]
Transition[Overlap at 1997-10-26T02:00-04:00 to -05:00]
Transition[Gap at 2005-04-03T00:00-05:00 to -04:00]
Transition[Overlap at 2005-10-30T00:00-04:00 to -05:00]
Transition[Gap at 2006-04-02T00:00-05:00 to -04:00]
Transition[Overlap at 2006-10-29T00:00-04:00 to -05:00]
Transition[Gap at 2012-03-11T02:00-05:00 to -04:00]
Transition[Overlap at 2012-11-04T02:00-04:00 to -05:00]
Transition[Gap at 2013-03-10T02:00-05:00 to -04:00]
Transition[Overlap at 2013-11-03T02:00-04:00 to -05:00]
Transition[Gap at 2014-03-09T02:00-05:00 to -04:00]
Transition[Overlap at 2014-11-02T02:00-04:00 to -05:00]
Transition[Gap at 2015-03-08T02:00-05:00 to -04:00]
Transition[Overlap at 2015-11-01T02:00-04:00 to -05:00]
Transition[Gap at 2017-03-12T02:00-05:00 to -04:00]
Transition[Overlap at 2017-11-05T02:00-04:00 to -05:00]
Transition[Gap at 2018-03-11T02:00-05:00 to -04:00]
Transition[Overlap at 2018-11-04T02:00-04:00 to -05:00]
TransitionRule[Gap -05:00 to -04:00, SUNDAY on or after MARCH 8 at 02:00 WALL, standard offset -05:00]
TransitionRule[Overlap -04:00 to -05:00, SUNDAY on or after NOVEMBER 1 at 02:00 WALL, standard offset -05:00]
