LMT: +02:57:40
Transition[Overlap at 1890-01-01T00:00+02:57:40 to +02:57:36]
Transition[Gap at 1918-01-01T00:00+02:57:36 to +03:00]
Transition[Gap at 1982-05-01T00:00+03:00 to +04:00]
Transition[Overlap at 1982-10-01T00:00+04:00 to +03:00]
Transition[Gap at 1983-03-31T00:00+03:00 to +04:00]
Transition[Overlap at 1983-10-01T00:00+04:00 to +03:00]
Transition[Gap at 1984-04-01T00:00+03:00 to +04:00]
Transition[Overlap at 1984-10-01T00:00+04:00 to +03:00]
Transition[Gap at 1985-04-01T00:00+03:00 to +04:00]
Transition[Overlap at 1985-09-29T02:00+04:00 to +03:00]
Transition[Gap at 1986-03-30T01:00+03:00 to +04:00]
Transition[Overlap at 1986-09-28T02:00+04:00 to +03:00]
Transition[Gap at 1987-03-29T01:00+03:00 to +04:00]
Transition[Overlap at 1987-09-27T02:00+04:00 to +03:00]
Transition[Gap at 1988-03-27T01:00+03:00 to +04:00]
Transition[Overlap at 1988-09-25T02:00+04:00 to +03:00]
Transition[Gap at 1989-03-26T01:00+03:00 to +04:00]
Transition[Overlap at 1989-09-24T02:00+04:00 to +03:00]
Transition[Gap at 1990-03-25T01:00+03:00 to +04:00]
Transition[Overlap at 1990-09-30T02:00+04:00 to +03:00]
Transition[Gap at 1991-04-01T03:00+03:00 to +04:00]
Transition[Overlap at 1991-10-01T04:00+04:00 to +03:00]
Transition[Gap at 1992-04-01T03:00+03:00 to +04:00]
Transition[Overlap at 1992-10-01T04:00+04:00 to +03:00]
Transition[Gap at 1993-04-01T03:00+03:00 to +04:00]
Transition[Overlap at 1993-10-01T04:00+04:00 to +03:00]
Transition[Gap at 1994-04-01T03:00+03:00 to +04:00]
Transition[Overlap at 1994-10-01T04:00+04:00 to +03:00]
Transition[Gap at 1995-04-01T03:00+03:00 to +04:00]
Transition[Overlap at 1995-10-01T04:00+04:00 to +03:00]
Transition[Gap at 1996-04-01T03:00+03:00 to +04:00]
Transition[Overlap at 1996-10-01T04:00+04:00 to +03:00]
Transition[Gap at 1997-04-01T03:00+03:00 to +04:00]
Transition[Overlap at 1997-10-01T04:00+04:00 to +03:00]
Transition[Gap at 1998-04-01T03:00+03:00 to +04:00]
Transition[Overlap at 1998-10-01T04:00+04:00 to +03:00]
Transition[Gap at 1999-04-01T03:00+03:00 to +04:00]
Transition[Overlap at 1999-10-01T04:00+04:00 to +03:00]
Transition[Gap at 2000-04-01T03:00+03:00 to +04:00]
Transition[Overlap at 2000-10-01T04:00+04:00 to +03:00]
Transition[Gap at 2001-04-01T03:00+03:00 to +04:00]
Transition[Overlap at 2001-10-01T04:00+04:00 to +03:00]
Transition[Gap at 2002-04-01T03:00+03:00 to +04:00]
Transition[Overlap at 2002-10-01T04:00+04:00 to +03:00]
Transition[Gap at 2003-04-01T03:00+03:00 to +04:00]
Transition[Overlap at 2003-10-01T04:00+04:00 to +03:00]
Transition[Gap at 2004-04-01T03:00+03:00 to +04:00]
Transition[Overlap at 2004-10-01T04:00+04:00 to +03:00]
Transition[Gap at 2005-04-01T03:00+03:00 to +04:00]
Transition[Overlap at 2005-10-01T04:00+04:00 to +03:00]
Transition[Gap at 2006-04-01T03:00+03:00 to +04:00]
Transition[Overlap at 2006-10-01T04:00+04:00 to +03:00]
Transition[Gap at 2007-04-01T03:00+03:00 to +04:00]
Transition[Overlap at 2007-10-01T04:00+04:00 to +03:00]
