LMT: +06:06:36
Transition[Overlap at 1905-08-01T00:00+06:06:36 to +06:00]
Transition[Gap at 1978-01-01T00:00+06:00 to +07:00]
Transition[Gap at 1983-04-01T00:00+07:00 to +08:00]
Transition[Overlap at 1983-10-01T00:00+08:00 to +07:00]
Transition[Gap at 1984-04-01T00:00+07:00 to +08:00]
Transition[Overlap at 1984-09-30T00:00+08:00 to +07:00]
Transition[Gap at 1985-03-31T00:00+07:00 to +08:00]
Transition[Overlap at 1985-09-29T00:00+08:00 to +07:00]
Transition[Gap at 1986-03-30T00:00+07:00 to +08:00]
Transition[Overlap at 1986-09-28T00:00+08:00 to +07:00]
Transition[Gap at 1987-03-29T00:00+07:00 to +08:00]
Transition[Overlap at 1987-09-27T00:00+08:00 to +07:00]
Transition[Gap at 1988-03-27T00:00+07:00 to +08:00]
Transition[Overlap at 1988-09-25T00:00+08:00 to +07:00]
Transition[Gap at 1989-03-26T00:00+07:00 to +08:00]
Transition[Overlap at 1989-09-24T00:00+08:00 to +07:00]
Transition[Gap at 1990-03-25T00:00+07:00 to +08:00]
Transition[Overlap at 1990-09-30T00:00+08:00 to +07:00]
Transition[Gap at 1991-03-31T00:00+07:00 to +08:00]
Transition[Overlap at 1991-09-29T00:00+08:00 to +07:00]
Transition[Gap at 1992-03-29T00:00+07:00 to +08:00]
Transition[Overlap at 1992-09-27T00:00+08:00 to +07:00]
Transition[Gap at 1993-03-28T00:00+07:00 to +08:00]
Transition[Overlap at 1993-09-26T00:00+08:00 to +07:00]
Transition[Gap at 1994-03-27T00:00+07:00 to +08:00]
Transition[Overlap at 1994-09-25T00:00+08:00 to +07:00]
Transition[Gap at 1995-03-26T00:00+07:00 to +08:00]
Transition[Overlap at 1995-09-24T00:00+08:00 to +07:00]
Transition[Gap at 1996-03-31T00:00+07:00 to +08:00]
Transition[Overlap at 1996-09-29T00:00+08:00 to +07:00]
Transition[Gap at 1997-03-30T00:00+07:00 to +08:00]
Transition[Overlap at 1997-09-28T00:00+08:00 to +07:00]
Transition[Gap at 1998-03-29T00:00+07:00 to +08:00]
Transition[Overlap at 1998-09-27T00:00+08:00 to +07:00]
Transition[Gap at 2001-04-28T02:00+07:00 to +08:00]
Transition[Overlap at 2001-09-29T02:00+08:00 to +07:00]
Transition[Gap at 2002-03-30T02:00+07:00 to +08:00]
Transition[Overlap at 2002-09-28T02:00+08:00 to +07:00]
Transition[Gap at 2003-03-29T02:00+07:00 to +08:00]
Transition[Overlap at 2003-09-27T02:00+08:00 to +07:00]
Transition[Gap at 2004-03-27T02:00+07:00 to +08:00]
Transition[Overlap at 2004-09-25T02:00+08:00 to +07:00]
Transition[Gap at 2005-03-26T02:00+07:00 to +08:00]
Transition[Overlap at 2005-09-24T02:00+08:00 to +07:00]
Transition[Gap at 2006-03-25T02:00+07:00 to +08:00]
Transition[Overlap at 2006-09-30T02:00+08:00 to +07:00]
Transition[Gap at 2015-03-28T02:00+07:00 to +08:00]
Transition[Overlap at 2015-09-26T00:00+08:00 to +07:00]
Transition[Gap at 2016-03-26T02:00+07:00 to +08:00]
Transition[Overlap at 2016-09-24T00:00+08:00 to +07:00]
