LMT: +02:20:54
Transition[Overlap at 1880-01-01T00:00+02:20:54 to +02:20:40]
Transition[Overlap at 1918-01-01T00:00+02:20:40 to +02:00]
Transition[Gap at 1940-06-01T00:00+02:00 to +03:00]
Transition[Overlap at 1942-11-01T00:00+03:00 to +02:00]
Transition[Gap at 1943-04-01T02:00+02:00 to +03:00]
Transition[Overlap at 1943-11-01T00:00+03:00 to +02:00]
Transition[Gap at 1944-04-01T00:00+02:00 to +03:00]
Transition[Overlap at 1944-11-01T00:00+03:00 to +02:00]
Transition[Gap at 1945-04-16T00:00+02:00 to +03:00]
Transition[Overlap at 1945-11-01T02:00+03:00 to +02:00]
Transition[Gap at 1946-04-16T02:00+02:00 to +03:00]
Transition[Overlap at 1946-11-01T00:00+03:00 to +02:00]
Transition[Gap at 1948-05-23T00:00+02:00 to +04:00]
Transition[Overlap at 1948-09-01T00:00+04:00 to +03:00]
Transition[Overlap at 1948-11-01T02:00+03:00 to +02:00]
Transition[Gap at 1949-05-01T00:00+02:00 to +03:00]
Transition[Overlap at 1949-11-01T02:00+03:00 to +02:00]
Transition[Gap at 1950-04-16T00:00+02:00 to +03:00]
Transition[Overlap at 1950-09-15T03:00+03:00 to +02:00]
Transition[Gap at 1951-04-01T00:00+02:00 to +03:00]
Transition[Overlap at 1951-11-11T03:00+03:00 to +02:00]
Transition[Gap at 1952-04-20T02:00+02:00 to +03:00]
Transition[Overlap at 1952-10-19T03:00+03:00 to +02:00]
Transition[Gap at 1953-04-12T02:00+02:00 to +03:00]
Transition[Overlap at 1953-09-13T03:00+03:00 to +02:00]
Transition[Gap at 1954-06-13T00:00+02:00 to +03:00]
Transition[Overlap at 1954-09-12T00:00+03:00 to +02:00]
Transition[Gap at 1955-06-11T02:00+02:00 to +03:00]
Transition[Overlap at 1955-09-11T00:00+03:00 to +02:00]
Transition[Gap at 1956-06-03T00:00+02:00 to +03:00]
Transition[Overlap at 1956-09-30T03:00+03:00 to +02:00]
Transition[Gap at 1957-04-29T02:00+02:00 to +03:00]
Transition[Overlap at 1957-09-22T00:00+03:00 to +02:00]
Transition[Gap at 1974-07-07T00:00+02:00 to +03:00]
Transition[Overlap at 1974-10-13T00:00+03:00 to +02:00]
Transition[Gap at 1975-04-20T00:00+02:00 to +03:00]
Transition[Overlap at 1975-08-31T00:00+03:00 to +02:00]
Transition[Gap at 1980-08-02T00:00+02:00 to +03:00]
Transition[Overlap at 1980-09-13T01:00+03:00 to +02:00]
Transition[Gap at 1984-05-05T00:00+02:00 to +03:00]
Transition[Overlap at 1984-08-25T01:00+03:00 to +02:00]
Transition[Gap at 1985-04-14T00:00+02:00 to +03:00]
Transition[Overlap at 1985-09-15T00:00+03:00 to +02:00]
Transition[Gap at 1986-05-18T00:00+02:00 to +03:00]
Transition[Overlap at 1986-09-07T00:00+03:00 to +02:00]
Transition[Gap at 1987-04-15T00:00+02:00 to +03:00]
Transition[Overlap at 1987-09-13T00:00+03:00 to +02:00]
Transition[Gap at 1988-04-10T00:00+02:00 to +03:00]
Transition[Overlap at 1988-09-04T00:00+03:00 to +02:00]
Transition[Gap at 1989-04-30T00:00+02:00 to +03:00]
Transition[Overlap at 1989-09-03T00:00+03:00 to +02:00]
Transition[Gap at 1990-03-25T00:00+02:00 to +03:00]
Transition[Overlap at 1990-08-26T00:00+03:00 to +02:00]
Transition[Gap at 1991-03-24T00:00+02:00 to +03:00]
Transition[Overlap at 1991-09-01T00:00+03:00 to +02:00]
Transition[Gap at 1992-03-29T00:00+02:00 to +03:00]
Transition[Overlap at 1992-09-06T00:00+03:00 to +02:00]
Transition[Gap at 1993-04-02T00:00+02:00 to +03:00]
Transition[Overlap at 1993-09-05T00:00+03:00 to +02:00]
