LMT: +10:36:20
Transition[Overlap at 1895-02-01T00:00+10:36:20 to +10:00]
Transition[Gap at 1981-03-01T00:00+10:00 to +10:30]
Transition[Gap at 1981-10-25T02:00+10:30 to +11:30]
Transition[Overlap at 1982-03-07T02:00+11:30 to +10:30]
Transition[Gap at 1982-10-31T02:00+10:30 to +11:30]
Transition[Overlap at 1983-03-06T02:00+11:30 to +10:30]
Transition[Gap at 1983-10-30T02:00+10:30 to +11:30]
Transition[Overlap at 1984-03-04T02:00+11:30 to +10:30]
Transition[Gap at 1984-10-28T02:00+10:30 to +11:30]
Transition[Overlap at 1985-03-03T02:00+11:30 to +10:30]
Transition[Gap at 1985-10-27T02:00+10:30 to +11:00]
Transition[Overlap at 1986-03-16T02:00+11:00 to +10:30]
Transition[Gap at 1986-10-19T02:00+10:30 to +11:00]
Transition[Overlap at 1987-03-15T02:00+11:00 to +10:30]
Transition[Gap at 1987-10-25T02:00+10:30 to +11:00]
Transition[Overlap at 1988-03-20T02:00+11:00 to +10:30]
Transition[Gap at 1988-10-30T02:00+10:30 to +11:00]
Transition[Overlap at 1989-03-19T02:00+11:00 to +10:30]
Transition[Gap at 1989-10-29T02:00+10:30 to +11:00]
Transition[Overlap at 1990-03-04T02:00+11:00 to +10:30]
Transition[Gap at 1990-10-28T02:00+10:30 to +11:00]
Transition[Overlap at 1991-03-03T02:00+11:00 to +10:30]
Transition[Gap at 1991-10-27T02:00+10:30 to +11:00]
Transition[Overlap at 1992-03-01T02:00+11:00 to +10:30]
Transition[Gap at 1992-10-25T02:00+10:30 to +11:00]
Transition[Overlap at 1993-03-07T02:00+11:00 to +10:30]
Transition[Gap at 1993-10-31T02:00+10:30 to +11:00]
Transition[Overlap at 1994-03-06T02:00+11:00 to +10:30]
Transition[Gap at 1994-10-30T02:00+10:30 to +11:00]
Transition[Overlap at 1995-03-05T02:00+11:00 to +10:30]
Transition[Gap at 1995-10-29T02:00+10:30 to +11:00]
Transition[Overlap at 1996-03-31T02:00+11:00 to +10:30]
Transition[Gap at 1996-10-27T02:00+10:30 to +11:00]
Transition[Overlap at 1997-03-30T02:00+11:00 to +10:30]
Transition[Gap at 1997-10-26T02:00+10:30 to +11:00]
Transition[Overlap at 1998-03-29T02:00+11:00 to +10:30]
Transition[Gap at 1998-10-25T02:00+10:30 to +11:00]
Transition[Overlap at 1999-03-28T02:00+11:00 to +10:30]
Transition[Gap at 1999-10-31T02:00+10:30 to +11:00]
Transition[Overlap at 2000-03-26T02:00+11:00 to +10:30]
Transition[Gap at 2000-08-27T02:00+10:30 to +11:00]
Transition[Overlap at 2001-03-25T02:00+11:00 to +10:30]
Transition[Gap at 2001-10-28T02:00+10:30 to +11:00]
Transition[Overlap at 2002-03-31T02:00+11:00 to +10:30]
Transition[Gap at 2002-10-27T02:00+10:30 to +11:00]
Transition[Overlap at 2003-03-30T02:00+11:00 to +10:30]
Transition[Gap at 2003-10-26T02:00+10:30 to +11:00]
Transition[Overlap at 2004-03-28T02:00+11:00 to +10:30]
Transition[Gap at 2004-10-31T02:00+10:30 to +11:00]
Transition[Overlap at 2005-03-27T02:00+11:00 to +10:30]
Transition[Gap at 2005-10-30T02:00+10:30 to +11:00]
Transition[Overlap at 2006-04-02T02:00+11:00 to +10:30]
Transition[Gap at 2006-10-29T02:00+10:30 to +11:00]
Transition[Overlap at 2007-03-25T02:00+11:00 to +10:30]
Transition[Gap at 2007-10-28T02:00+10:30 to +11:00]
Transition[Overlap at 2008-04-06T02:00+11:00 to +10:30]
Transition[Gap at 2008-10-05T02:00+10:30 to +11:00]
Transition[Overlap at 2009-04-05T02:00+11:00 to +10:30]
Transition[Gap at 2009-10-04T02:00+10:30 to +11:00]
TransitionRule[Overlap +11:00 to +10:30, SUNDAY on or after APRIL 1 at 02:00 WALL, standard offset +10:30]
TransitionRule[Gap +10:30 to +11:00, SUNDAY on or after OCTOBER 1 at 02:00 WALL, standard offset +10:30]
