LMT: +00:29:32
Transition[Overlap at 1892-06-01T00:00+00:29:32 to +00:09:21]
Transition[Overlap at 1911-03-29T00:00+00:09:21 to Z]
Transition[Gap at 1916-06-14T23:00Z to +01:00]
Transition[Overlap at 1916-10-02T00:00+01:00 to Z]
Transition[Gap at 1917-03-24T23:00Z to +01:00]
Transition[Overlap at 1917-10-08T00:00+01:00 to Z]
Transition[Gap at 1918-03-09T23:00Z to +01:00]
Transition[Overlap at 1918-10-07T00:00+01:00 to Z]
Transition[Gap at 1919-03-01T23:00Z to +01:00]
Transition[Overlap at 1919-10-06T00:00+01:00 to Z]
Transition[Gap at 1920-02-14T23:00Z to +01:00]
Transition[Overlap at 1920-10-24T00:00+01:00 to Z]
Transition[Gap at 1921-03-14T23:00Z to +01:00]
Transition[Overlap at 1921-10-26T00:00+01:00 to Z]
Transition[Gap at 1922-03-25T23:00Z to +01:00]
Transition[Overlap at 1922-10-08T00:00+01:00 to Z]
Transition[Gap at 1923-05-26T23:00Z to +01:00]
Transition[Overlap at 1923-10-07T00:00+01:00 to Z]
Transition[Gap at 1924-03-29T23:00Z to +01:00]
Transition[Overlap at 1924-10-05T00:00+01:00 to Z]
Transition[Gap at 1925-04-04T23:00Z to +01:00]
Transition[Overlap at 1925-10-04T00:00+01:00 to Z]
Transition[Gap at 1926-04-17T23:00Z to +01:00]
Transition[Overlap at 1926-10-03T00:00+01:00 to Z]
Transition[Gap at 1927-04-09T23:00Z to +01:00]
Transition[Overlap at 1927-10-02T00:00+01:00 to Z]
Transition[Gap at 1928-04-14T23:00Z to +01:00]
Transition[Overlap at 1928-10-07T00:00+01:00 to Z]
Transition[Gap at 1929-04-20T23:00Z to +01:00]
Transition[Overlap at 1929-10-06T00:00+01:00 to Z]
Transition[Gap at 1930-04-12T23:00Z to +01:00]
Transition[Overlap at 1930-10-05T00:00+01:00 to Z]
Transition[Gap at 1931-04-18T23:00Z to +01:00]
Transition[Overlap at 1931-10-04T00:00+01:00 to Z]
Transition[Gap at 1932-04-02T23:00Z to +01:00]
Transition[Overlap at 1932-10-02T00:00+01:00 to Z]
Transition[Gap at 1933-03-25T23:00Z to +01:00]
Transition[Overlap at 1933-10-08T00:00+01:00 to Z]
Transition[Gap at 1934-04-07T23:00Z to +01:00]
Transition[Overlap at 1934-10-07T00:00+01:00 to Z]
Transition[Gap at 1935-03-30T23:00Z to +01:00]
Transition[Overlap at 1935-10-06T00:00+01:00 to Z]
Transition[Gap at 1936-04-18T23:00Z to +01:00]
Transition[Overlap at 1936-10-04T00:00+01:00 to Z]
Transition[Gap at 1937-04-03T23:00Z to +01:00]
Transition[Overlap at 1937-10-03T00:00+01:00 to Z]
Transition[Gap at 1938-03-26T23:00Z to +01:00]
Transition[Overlap at 1938-10-02T00:00+01:00 to Z]
Transition[Gap at 1939-04-15T23:00Z to +01:00]
Transition[Overlap at 1939-11-19T00:00+01:00 to Z]
Transition[Gap at 1940-02-25T02:00Z to +01:00]
Transition[Gap at 1941-05-05T00:00+01:00 to +02:00]
Transition[Overlap at 1941-10-06T00:00+02:00 to +01:00]
Transition[Gap at 1942-03-09T00:00+01:00 to +02:00]
