LMT: -01:27:24
Transition[Overlap at 1837-01-01T00:00-01:27:24 to -01:27:48]
Transition[Gap at 1908-01-01T00:00-01:27:48 to -01:00]
Transition[Gap at 1917-02-19T23:00-01:00 to Z]
Transition[Overlap at 1917-10-21T01:00Z to -01:00]
Transition[Gap at 1918-02-19T23:00-01:00 to Z]
Transition[Overlap at 1918-11-16T01:00Z to -01:00]
Transition[Gap at 1939-04-29T23:00-01:00 to Z]
Transition[Overlap at 1939-11-29T02:00Z to -01:00]
Transition[Gap at 1940-02-25T02:00-01:00 to Z]
Transition[Overlap at 1940-11-03T02:00Z to -01:00]
Transition[Gap at 1941-03-02T01:00-01:00 to Z]
Transition[Overlap at 1941-11-02T02:00Z to -01:00]
Transition[Gap at 1942-03-08T01:00-01:00 to Z]
Transition[Overlap at 1942-10-25T02:00Z to -01:00]
Transition[Gap at 1943-03-07T01:00-01:00 to Z]
Transition[Overlap at 1943-10-24T02:00Z to -01:00]
Transition[Gap at 1944-03-05T01:00-01:00 to Z]
Transition[Overlap at 1944-10-22T02:00Z to -01:00]
Transition[Gap at 1945-03-04T01:00-01:00 to Z]
Transition[Overlap at 1945-10-28T02:00Z to -01:00]
Transition[Gap at 1946-03-03T01:00-01:00 to Z]
Transition[Overlap at 1946-10-27T02:00Z to -01:00]
Transition[Gap at 1947-04-06T01:00-01:00 to Z]
Transition[Overlap at 1947-10-26T02:00Z to -01:00]
Transition[Gap at 1948-04-04T01:00-01:00 to Z]
Transition[Overlap at 1948-10-24T02:00Z to -01:00]
Transition[Gap at 1949-04-03T01:00-01:00 to Z]
Transition[Overlap at 1949-10-30T02:00Z to -01:00]
Transition[Gap at 1950-04-02T01:00-01:00 to Z]
Transition[Overlap at 1950-10-22T02:00Z to -01:00]
Transition[Gap at 1951-04-01T01:00-01:00 to Z]
Transition[Overlap at 1951-10-28T02:00Z to -01:00]
Transition[Gap at 1952-04-06T01:00-01:00 to Z]
Transition[Overlap at 1952-10-26T02:00Z to -01:00]
Transition[Gap at 1953-04-05T01:00-01:00 to Z]
Transition[Overlap at 1953-10-25T02:00Z to -01:00]
Transition[Gap at 1954-04-04T01:00-01:00 to Z]
Transition[Overlap at 1954-10-24T02:00Z to -01:00]
Transition[Gap at 1955-04-03T01:00-01:00 to Z]
Transition[Overlap at 1955-10-23T02:00Z to -01:00]
Transition[Gap at 1956-04-01T01:00-01:00 to Z]
Transition[Overlap at 1956-10-28T02:00Z to -01:00]
Transition[Gap at 1957-04-07T01:00-01:00 to Z]
Transition[Overlap at 1957-10-27T02:00Z to -01:00]
Transition[Gap at 1958-04-06T01:00-01:00 to Z]
Transition[Overlap at 1958-10-26T02:00Z to -01:00]
Transition[Gap at 1959-04-05T01:00-01:00 to Z]
Transition[Overlap at 1959-10-25T02:00Z to -01:00]
Transition[Gap at 1960-04-03T01:00-01:00 to Z]
Transition[Overlap at 1960-10-23T02:00Z to -01:00]
Transition[Gap at 1961-04-02T01:00-01:00 to Z]
Transition[Overlap at 1961-10-22T02:00Z to -01:00]
Transition[Gap at 1962-04-01T01:00-01:00 to Z]
Transition[Overlap at 1962-10-28T02:00Z to -01:00]
Transition[Gap at 1963-04-07T01:00-01:00 to Z]
Transition[Overlap at 1963-10-27T02:00Z to -01:00]
Transition[Gap at 1964-04-05T01:00-01:00 to Z]
Transition[Overlap at 1964-10-25T02:00Z to -01:00]
Transition[Gap at 1965-04-04T01:00-01:00 to Z]
Transition[Overlap at 1965-10-24T02:00Z to -01:00]
Transition[Gap at 1966-04-03T01:00-01:00 to Z]
Transition[Overlap at 1966-10-23T02:00Z to -01:00]
Transition[Gap at 1967-04-02T01:00-01:00 to Z]
Transition[Overlap at 1967-10-29T02:00Z to -01:00]
Transition[Gap at 1968-04-07T01:00-01:00 to Z]
