LMT: +01:55:52
Transition[Gap at 1880-01-01T00:00+01:55:52 to +01:56:56]
Transition[Gap at 1910-10-01T00:00+01:56:56 to +02:00]
Transition[Gap at 1916-05-01T00:00+02:00 to +03:00]
Transition[Overlap at 1916-10-01T00:00+03:00 to +02:00]
Transition[Gap at 1920-03-28T00:00+02:00 to +03:00]
Transition[Overlap at 1920-10-25T00:00+03:00 to +02:00]
Transition[Gap at 1921-04-03T00:00+02:00 to +03:00]
Transition[Overlap at 1921-10-03T00:00+03:00 to +02:00]
Transition[Gap at 1922-03-26T00:00+02:00 to +03:00]
Transition[Overlap at 1922-10-08T00:00+03:00 to +02:00]
Transition[Gap at 1924-05-13T00:00+02:00 to +03:00]
Transition[Overlap at 1924-10-01T00:00+03:00 to +02:00]
Transition[Gap at 1925-05-01T00:00+02:00 to +03:00]
Transition[Overlap at 1925-10-01T00:00+03:00 to +02:00]
Transition[Gap at 1940-06-30T00:00+02:00 to +03:00]
Transition[Overlap at 1940-10-05T00:00+03:00 to +02:00]
Transition[Gap at 1940-12-01T00:00+02:00 to +03:00]
Transition[Overlap at 1941-09-21T00:00+03:00 to +02:00]
Transition[Gap at 1942-04-01T00:00+02:00 to +03:00]
Transition[Overlap at 1942-11-01T00:00+03:00 to +02:00]
Transition[Gap at 1945-04-02T00:00+02:00 to +03:00]
Transition[Overlap at 1945-10-08T00:00+03:00 to +02:00]
Transition[Gap at 1946-06-01T00:00+02:00 to +03:00]
Transition[Overlap at 1946-10-01T00:00+03:00 to +02:00]
Transition[Gap at 1947-04-20T00:00+02:00 to +03:00]
Transition[Overlap at 1947-10-05T00:00+03:00 to +02:00]
Transition[Gap at 1948-04-18T00:00+02:00 to +03:00]
Transition[Overlap at 1948-10-03T00:00+03:00 to +02:00]
Transition[Gap at 1949-04-10T00:00+02:00 to +03:00]
Transition[Overlap at 1949-10-02T00:00+03:00 to +02:00]
Transition[Gap at 1950-04-19T00:00+02:00 to +03:00]
Transition[Overlap at 1950-10-08T00:00+03:00 to +02:00]
Transition[Gap at 1951-04-22T00:00+02:00 to +03:00]
Transition[Overlap at 1951-10-08T00:00+03:00 to +02:00]
Transition[Gap at 1962-07-15T00:00+02:00 to +03:00]
Transition[Overlap at 1962-10-08T00:00+03:00 to +02:00]
Transition[Gap at 1964-05-15T00:00+02:00 to +03:00]
Transition[Overlap at 1964-10-01T00:00+03:00 to +02:00]
Transition[Gap at 1970-05-03T00:00+02:00 to +03:00]
Transition[Overlap at 1970-10-04T00:00+03:00 to +02:00]
Transition[Gap at 1971-05-02T00:00+02:00 to +03:00]
Transition[Overlap at 1971-10-03T00:00+03:00 to +02:00]
Transition[Gap at 1972-05-07T00:00+02:00 to +03:00]
Transition[Overlap at 1972-10-08T00:00+03:00 to +02:00]
Transition[Gap at 1973-06-03T01:00+02:00 to +03:00]
Transition[Overlap at 1973-11-04T03:00+03:00 to +02:00]
Transition[Gap at 1974-03-31T02:00+02:00 to +03:00]
Transition[Overlap at 1974-11-03T05:00+03:00 to +02:00]
Transition[Gap at 1975-03-30T00:00+02:00 to +03:00]
Transition[Overlap at 1975-10-26T00:00+03:00 to +02:00]
Transition[Gap at 1976-06-01T00:00+02:00 to +03:00]
Transition[Overlap at 1976-10-31T00:00+03:00 to +02:00]
Transition[Gap at 1977-04-03T00:00+02:00 to +03:00]
Transition[Overlap at 1977-10-16T00:00+03:00 to +02:00]
Transition[Gap at 1978-04-02T00:00+02:00 to +03:00]
Transition[Gap at 1978-10-15T00:00+03:00 to +04:00]
Transition[Overlap at 1979-10-15T00:00+04:00 to +03:00]
Transition[Gap at 1980-04-06T03:00+03:00 to +04:00]
Transition[Overlap at 1980-10-13T00:00+04:00 to +03:00]
Transition[Gap at 1981-03-29T03:00+03:00 to +04:00]
Transition[Overlap at 1981-10-12T00:00+04:00 to +03:00]
Transition[Gap at 1982-03-28T03:00+03:00 to +04:00]
Transition[Overlap at 1982-10-11T00:00+04:00 to +03:00]
Transition[Gap at 1983-07-31T00:00+03:00 to +04:00]
Transition[Overlap at 1983-10-02T00:00+04:00 to +03:00]
Transition[Overlap at 1985-09-28T00:00+03:00 to +02:00]
Transition[Gap at 1986-03-30T02:00+02:00 to +03:00]
Transition[Overlap at 1986-09-28T03:00+03:00 to +02:00]
Transition[Gap at 1987-03-29T02:00+02:00 to +03:00]
Transition[Overlap at 1987-09-27T03:00+03:00 to +02:00]
Transition[Gap at 1988-03-27T02:00+02:00 to +03:00]
Transition[Overlap at 1988-09-25T03:00+03:00 to +02:00]
Transition[Gap at 1989-03-26T02:00+02:00 to +03:00]
Transition[Overlap at 1989-09-24T03:00+03:00 to +02:00]
Transition[Gap at 1990-03-25T02:00+02:00 to +03:00]
Transition[Overlap at 1990-09-30T03:00+03:00 to +02:00]
Transition[Gap at 1991-03-31T01:00+02:00 to +03:00]
Transition[Overlap at 1991-09-29T02:00+03:00 to +02:00]
Transition[Gap at 1992-03-29T01:00+02:00 to +03:00]
Transition[Overlap at 1992-09-27T02:00+03:00 to +02:00]
Transition[Gap at 1993-03-28T01:00+02:00 to +03:00]
Transition[Overlap at 1993-09-26T02:00+03:00 to +02:00]
Transition[Gap at 1994-03-27T01:00+02:00 to +03:00]
Transition[Overlap at 1994-09-25T02:00+03:00 to +02:00]
Transition[Gap at 1995-03-26T01:00+02:00 to +03:00]
Transition[Overlap at 1995-09-24T02:00+03:00 to +02:00]
Transition[Gap at 1996-03-31T01:00+02:00 to +03:00]
Transition[Overlap at 1996-10-27T02:00+03:00 to +02:00]
Transition[Gap at 1997-03-30T01:00+02:00 to +03:00]
Transition[Overlap at 1997-10-26T02:00+03:00 to +02:00]
Transition[Gap at 1998-03-29T01:00+02:00 to +03:00]
Transition[Overlap at 1998-10-25T02:00+03:00 to +02:00]
Transition[Gap at 1999-03-28T01:00+02:00 to +03:00]
Transition[Overlap at 1999-10-31T02:00+03:00 to +02:00]
Transition[Gap at 2000-03-26T01:00+02:00 to +03:00]
Transition[Overlap at 2000-10-29T02:00+03:00 to +02:00]
Transition[Gap at 2001-03-25T01:00+02:00 to +03:00]
Transition[Overlap at 2001-10-28T02:00+03:00 to +02:00]
Transition[Gap at 2002-03-31T01:00+02:00 to +03:00]
Transition[Overlap at 2002-10-27T02:00+03:00 to +02:00]
Transition[Gap at 2003-03-30T01:00+02:00 to +03:00]
Transition[Overlap at 2003-10-26T02:00+03:00 to +02:00]
Transition[Gap at 2004-03-28T01:00+02:00 to +03:00]
Transition[Overlap at 2004-10-31T02:00+03:00 to +02:00]
Transition[Gap at 2005-03-27T01:00+02:00 to +03:00]
Transition[Overlap at 2005-10-30T02:00+03:00 to +02:00]
Transition[Gap at 2006-03-26T01:00+02:00 to +03:00]
Transition[Overlap at 2006-10-29T02:00+03:00 to +02:00]
Transition[Gap at 2007-03-25T03:00+02:00 to +03:00]
Transition[Overlap at 2007-10-28T04:00+03:00 to +02:00]
Transition[Gap at 2008-03-30T03:00+02:00 to +03:00]
Transition[Overlap at 2008-10-26T04:00+03:00 to +02:00]
Transition[Gap at 2009-03-29T03:00+02:00 to +03:00]
Transition[Overlap at 2009-10-25T04:00+03:00 to +02:00]
Transition[Gap at 2010-03-28T03:00+02:00 to +03:00]
